Date,msft,google,meta,tesla
02-04-2024,421.4400024,155.8699951,497.3699951,166.6300049
03-04-2024,420.4500122,156.3699951,506.7399902,168.3800049
04-04-2024,417.8800049,151.9400024,510.9200134,171.1100006
05-04-2024,425.519989,153.9400024,527.3400269,164.8999939
08-04-2024,424.5899963,156.1399994,519.25,172.9799957
09-04-2024,426.2799988,158.1399994,516.9000244,176.8800049
10-04-2024,423.2600098,157.6600037,519.8300171,171.7599945
11-04-2024,427.9299927,160.7899933,523.1599731,174.6000061
12-04-2024,421.8999939,159.1900024,511.8999939,171.0500031
15-04-2024,413.6400146,156.3300018,500.230011,161.4799957
16-04-2024,414.5799866,156,499.7600098,157.1100006
17-04-2024,411.8399963,156.8800049,494.1700134,155.4499969
18-04-2024,404.269989,157.4600067,501.7999878,149.9299927
19-04-2024,399.1199951,155.7200012,481.0700073,147.0500031
22-04-2024,400.9599915,157.9499969,481.730011,142.0500031
23-04-2024,407.5700073,159.9199982,496.1000061,144.6799927
24-04-2024,409.0599976,161.1000061,493.5,162.1300049
25-04-2024,399.0400085,157.9499969,441.3800049,170.1799927
26-04-2024,406.3200073,173.6900024,443.2900085,168.2899933
29-04-2024,402.25,167.8999939,432.6199951,194.0500031
30-04-2024,389.3299866,164.6399994,430.1700134,183.2799988
01-05-2024,394.9400024,165.5700073,439.1900024,179.9900055
02-05-2024,397.8399963,168.4600067,441.6799927,180.0099945
03-05-2024,406.6600037,168.9900055,451.9599915,181.1900024
06-05-2024,413.5400085,169.8300018,465.6799927,184.7599945
07-05-2024,409.3399963,172.9799957,468.2399902,177.8099976
08-05-2024,410.5400085,171.1600037,472.6000061,174.7200012
09-05-2024,412.3200073,171.5800018,475.4200134,171.9700012
10-05-2024,414.7399902,170.2899933,476.2000122,168.4700012
13-05-2024,413.7200012,170.8999939,468.0100098,171.8899994
14-05-2024,416.5599976,171.9299927,471.8500061,177.5500031
15-05-2024,423.0799866,173.8800049,481.5400085,173.9900055
16-05-2024,420.9899902,175.4299927,473.230011,174.8399963
17-05-2024,420.2099915,177.2899933,471.9100037,177.4600067
20-05-2024,425.3399963,178.4600067,468.8399963,174.9499969
21-05-2024,429.0400085,179.5399933,464.6300049,186.6000061
22-05-2024,430.519989,178,467.7799988,180.1100006
23-05-2024,427,175.0599976,465.7799988,173.7400055
24-05-2024,430.1600037,176.3300018,478.2200012,179.2400055
28-05-2024,430.3200073,178.0200043,479.9200134,176.75
29-05-2024,429.1700134,177.3999939,474.3599854,176.1900024
30-05-2024,414.6700134,173.5599976,467.0499878,178.7899933
31-05-2024,415.1300049,173.9600067,466.8299866,178.0800018
03-06-2024,413.519989,174.4199982,477.4899902,176.2899933
04-06-2024,416.0700073,175.1300049,476.9899902,174.7700043
05-06-2024,424.0100098,177.0700073,495.0599976,175
06-06-2024,424.519989,178.3500061,493.7600098,177.9400024
07-06-2024,423.8500061,175.9499969,492.9599915,177.4799957
10-06-2024,427.8699951,176.6300049,502.6000061,173.7899933
11-06-2024,432.6799927,178.1900024,507.4700012,170.6600037
12-06-2024,441.0599976,179.5599976,508.8399963,177.2899933
13-06-2024,441.5799866,176.7400055,504.1000061,182.4700012
14-06-2024,442.5700073,178.3699951,504.1600037,178.0099945
17-06-2024,448.3699951,178.7799988,506.6300049,187.4400024
18-06-2024,446.3399963,176.4499969,499.4899902,184.8600006
20-06-2024,445.7000122,177.7100067,501.7000122,181.5700073
21-06-2024,449.7799988,180.2599945,494.7799988,183.0099945
24-06-2024,447.6700134,180.7899933,498.9100037,182.5800018
25-06-2024,450.9500122,185.5800018,510.6000061,187.3500061
26-06-2024,452.1600037,185.3699951,513.1199951,196.3699951
27-06-2024,452.8500061,186.8600006,519.5599976,197.4199982
28-06-2024,446.9500122,183.4199982,504.2200012,197.8800049
01-07-2024,456.730011,184.4900055,504.6799927,209.8600006
02-07-2024,459.2799988,186.6100006,509.5,231.2599945
03-07-2024,460.769989,187.3899994,509.9599915,246.3899994
05-07-2024,467.5599976,191.9600067,539.9099731,251.5200043
08-07-2024,466.2399902,190.4799957,529.3200073,252.9400024
09-07-2024,459.5400085,190.4400024,530,262.3299866
10-07-2024,466.25,192.6600037,534.6900024,263.2600098
11-07-2024,454.7000122,187.3000031,512.7000122,241.0299988
12-07-2024,453.5499878,186.7799988,498.8699951,248.2299957
15-07-2024,453.9599915,188.1900024,496.1600037,252.6399994
